Time (s),Temperature (C),Temperature Error (C),DAC Voltage (%)
1014.068,0.085,-9.915,100
1014.468,0.219,-9.781,100
1014.668,0.287,-9.713,100
1014.868,0.387,-9.613,100
1015.068,0.488,-9.512,100
1015.468,0.757,-9.243,100
1015.668,0.858,-9.142,100
1015.868,1.025,-8.975,100
1016.068,1.193,-8.807,100
1016.468,1.529,-8.471,100
1016.668,1.697,-8.303,100
1016.868,1.899,-8.101,100
1017.068,2.1,-7.9,100
1017.468,2.47,-7.53,100
1017.668,2.672,-7.328,100
1017.868,2.907,-7.093,100
1018.068,3.108,-6.892,100
1018.468,3.579,-6.421,100
1018.668,3.814,-6.186,100
1018.868,4.05,-5.95,100
1019.068,4.285,-5.715,100
1019.468,4.789,-5.211,100
1019.668,4.991,-5.009,100
1019.868,5.26,-4.74,100
1020.068,5.529,-4.471,100
1020.468,6.033,-3.967,100
1020.668,6.269,-3.731,100
1020.868,6.538,-3.462,100
1021.068,6.807,-3.193,100
1021.468,7.346,-2.654,100
1021.668,7.581,-2.419,100
1021.868,7.817,-2.183,92.16117216
1022.068,8.12,-1.88,80.56166056
1022.468,8.658,-1.342,59.75579976
1022.668,8.928,-1.072,49.10866911
1022.868,9.163,-0.837,39.75579976
1023.068,9.466,-0.534,27.44810745
1023.468,9.971,-0.029,6.568986569
1023.668,10.207,0.207,-3.345543346
1023.868,10.409,0.409,-11.99023199
1024.068,10.645,0.645,-22.17338217
1024.468,11.116,1.116,-42.90598291
1024.668,11.319,1.319,-52.06349206
1024.868,11.487,1.487,-59.9023199
1025.068,11.655,1.655,-67.83882784
1025.468,11.992,1.992,-83.98046398
1025.668,12.127,2.127,-90.74481074
1025.868,12.262,2.262,-97.60683761
1026.068,12.363,2.363,-100
1026.468,12.532,2.532,-100
1026.668,12.633,2.633,-100
1026.868,12.7,2.7,-100
1027.068,12.734,2.734,-100
1027.468,12.835,2.835,-100
1027.668,12.869,2.869,-100
1027.868,12.902,2.902,-100
1028.068,12.936,2.936,-100
1028.468,12.97,2.97,-100
1028.668,12.97,2.97,-100
1028.868,12.97,2.97,-100
1029.068,12.936,2.936,-100
1029.468,12.936,2.936,-100
1029.668,12.902,2.902,-100
